Date,Price,Open,High,Low,Volume,Close
04-03-2025,83612.50,82522.60,83908.90,82193.80,21056800.00,83051.35
04-02-2025,82525.00,85166.00,88377.30,82358.90,34483200.00,85368.10
04-01-2025,85164.20,82548.60,85506.20,82435.80,37919700.00,83971.00
03/31/2025,82548.80,82375.40,83895.60,81300.10,36863600.00,82597.85
03/30/2025,82371.60,82646.80,83532.90,81593.20,26580100.00,82563.05
03/29/2025,82645.70,84412.10,84603.40,81668.20,24127600.00,83135.80
03/28/2025,84410.40,87209.50,87507.50,83596.70,45099500.00,85552.10
03/27/2025,87228.20,86937.00,87751.40,85844.40,30627700.00,86797.90
03/26/2025,86912.00,87349.80,88276.70,85866.40,26814400.00,87071.55
03/25/2025,87404.00,87495.30,88523.30,86328.50,21460800.00,87425.90
03/24/2025,87490.00,86076.10,88740.20,85541.60,15029300.00,87140.90
03/23/2025,86077.40,83840.20,86082.00,83812.70,23613300.00,84947.35
03/22/2025,83840.50,84076.60,84526.30,83688.20,32497700.00,84107.25
03/21/2025,84073.30,84208.70,84831.00,83215.90,34707300.00,84023.45
03/20/2025,84208.10,86841.30,87419.00,83656.10,26229400.00,85537.55
03/19/2025,86841.00,82719.10,86990.60,82557.50,21777700.00,84774.05
03/18/2025,82719.10,84019.10,84019.10,81171.30,30901200.00,82595.20
03/17/2025,84019.10,82580.30,84729.20,82525.00,47236500.00,83627.10
03/16/2025,82578.40,84341.30,84942.50,82014.20,83308096.00,83478.35
03/15/2025,84341.30,83978.70,84679.50,83636.40,79011800.00,84157.95
03/14/2025,83977.10,81103.50,85286.60,80833.20,49199900.00,83059.90
03/13/2025,81100.20,83664.70,84292.00,79954.90,54736300.00,82123.45
03-12-2025,83664.30,82921.10,84266.50,80646.60,83641104.00,82456.55
03-11-2025,82921.10,78579.70,83572.60,76677.10,43665700.00,80124.85
03-10-2025,78575.90,80702.20,83902.80,77480.50,13345200.00,80691.65
03-09-2025,80691.60,86221.50,86498.60,80048.90,17552800.00,83273.75
03-08-2025,86221.90,86783.80,86886.80,85264.60,35221400.00,86075.70
03-07-2025,86531.20,89879.50,91059.80,84864.30,38491500.00,87962.05
03-06-2025,89930.90,90611.70,92802.00,87849.60,25267100.00,90325.80
03-05-2025,90611.70,87269.50,90937.80,86429.40,26990000.00,88683.60
03-04-2025,87266.30,86083.80,88887.80,81617.00,13600700.00,85252.40
03-03-2025,86209.70,94266.10,94266.10,85140.80,11416800.00,89703.45
03-02-2025,94265.10,86065.70,94986.50,85069.30,5914570.00,90027.90
03-01-2025,86071.60,84353.40,86546.30,83837.30,16419000.00,85191.80
02/28/2025,84381.20,84713.30,85028.70,78329.80,14188900.00,81679.25
02/27/2025,84714.60,84204.60,87013.90,82723.50,11641300.00,84868.70
02/26/2025,84212.70,88675.00,89375.30,82332.90,26456900.00,85854.10
02/25/2025,88686.00,91510.40,92523.10,86097.50,15585700.00,89310.30
02/24/2025,91508.50,96261.00,96497.90,91378.50,18127500.00,93938.20
02/23/2025,96258.80,96556.20,96655.20,95259.50,11272500.00,95957.35
02/22/2025,96556.10,96158.30,96930.80,95801.10,13033000.00,96365.95
02/21/2025,96155.60,98310.30,99473.40,94903.60,7845880.00,97188.50
02/20/2025,98310.30,96645.20,98721.60,96441.90,18192700.00,97581.75
02/19/2025,96644.80,95663.70,96829.60,95049.10,30177900.00,95939.35
02/18/2025,95638.00,95781.50,96645.10,93403.40,12545400.00,95024.25
02/17/2025,95781.30,96120.20,97002.30,95222.00,16677200.00,96112.15
02/16/2025,96132.10,97573.10,97706.50,96060.20,8603620.00,96883.35
02/15/2025,97573.40,97504.40,97973.20,97210.80,12948500.00,97592.00
02/14/2025,97504.60,96611.60,98817.30,96316.50,15655500.00,97566.90
02/13/2025,96610.20,97874.70,98079.60,95295.40,19817200.00,96687.50
02-12-2025,97881.30,95777.20,98095.80,94110.70,18797000.00,96103.25
02-11-2025,95771.70,97434.70,98476.50,94902.70,16834200.00,96689.60
02-10-2025,97434.70,96469.20,98311.60,95307.70,8535470.00,96809.65
02-09-2025,96469.20,96448.40,97297.80,94750.40,24205600.00,96024.10
02-08-2025,96447.90,96513.50,96862.80,95716.10,30450100.00,96289.45
02-07-2025,96513.50,96564.80,100133.90,95693.70,15838900.00,97913.80
02-06-2025,96568.80,96606.30,99119.20,95706.60,45783200.00,97412.90
02-05-2025,96595.30,97784.80,99028.30,96163.80,58945000.00,97596.05
02-04-2025,97793.40,101339.70,101692.90,96190.50,29589200.00,98941.70
02-03-2025,101337.10,97686.00,102372.20,91695.80,15727500.00,97034.00
02-02-2025,97684.90,100647.10,101451.00,96250.20,11905600.00,98850.60
02-01-2025,100648.00,102421.30,102770.80,100293.50,41518800.00,101532.15
